Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,AspNetCoreMvc\AspNetCoreMvc.csproj,File,AspNetCoreMvc\AspNetCoreMvc.csproj,,,System.Net.Http 4.3.4,,,,,"System.Net.Http, 4.3.4  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,AspNetCoreMvc\AspNetCoreMvc.csproj,File,AspNetCoreMvc\AspNetCoreMvc.csproj,,,System.Text.RegularExpressions 4.3.1,,,,,"System.Text.RegularExpressions, 4.3.1  Recommendation:  Package functionality included with new framework reference"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,AspNetCoreMvc\AspNetCoreMvc.csproj,File,AspNetCoreMvc\AspNetCoreMvc.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AspNetWebForms\AspNetWebForms.csproj,File,AspNetWebForms\AspNetWebForms.csproj,,,Antlr 3.5.0.2,,,,,"Antlr, 3.5.0.2  Recommendation:  Remove Antlr, and replace with new package Antlr4 4.6.6"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,AspNetWebForms\AspNetWebForms.csproj,File,AspNetWebForms\AspNetWebForms.csproj,,,AspNet.ScriptManager.jQuery 3.5.0,,,,,"AspNet.ScriptManager.jQuery, 3.5.0  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,AspNetWebForms\AspNetWebForms.csproj,File,AspNetWebForms\AspNetWebForms.csproj,,,Microsoft.AspNet.FriendlyUrls 1.0.2,,,,,"Microsoft.AspNet.FriendlyUrls, 1.0.2  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,AspNetWebForms\AspNetWebForms.csproj,File,AspNetWebForms\AspNetWebForms.csproj,,,Microsoft.AspNet.FriendlyUrls.Core 1.0.2,,,,,"Microsoft.AspNet.FriendlyUrls.Core, 1.0.2  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,AspNetWebForms\AspNetWebForms.csproj,File,AspNetWebForms\AspNetWebForms.csproj,,,Microsoft.AspNet.ScriptManager.MSAjax 5.0.0,,,,,"Microsoft.AspNet.ScriptManager.MSAjax, 5.0.0  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,AspNetWebForms\AspNetWebForms.csproj,File,AspNetWebForms\AspNetWebForms.csproj,,,Microsoft.AspNet.ScriptManager.WebForms 5.0.0,,,,,"Microsoft.AspNet.ScriptManager.WebForms, 5.0.0  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,AspNetWebForms\AspNetWebForms.csproj,File,AspNetWebForms\AspNetWebForms.csproj,,,Microsoft.AspNet.Web.Optimization 1.1.3,,,,,"Microsoft.AspNet.Web.Optimization, 1.1.3  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,AspNetWebForms\AspNetWebForms.csproj,File,AspNetWebForms\AspNetWebForms.csproj,,,Microsoft.AspNet.Web.Optimization.WebForms 1.1.3,,,,,"Microsoft.AspNet.Web.Optimization.WebForms, 1.1.3  Recommendation:  No supported version found"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,AspNetWebForms\AspNetWebForms.csproj,File,AspNetWebForms\AspNetWebForms.csproj,,,Microsoft.CodeDom.Providers.DotNetCompilerPlatform 2.0.1,,,,,"Microsoft.CodeDom.Providers.DotNetCompilerPlatform, 2.0.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,AspNetWebForms\AspNetWebForms.csproj,File,AspNetWebForms\AspNetWebForms.csproj,,,Microsoft.Web.Infrastructure 2.0.1,,,,,"Microsoft.Web.Infrastructure, 2.0.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AspNetWebForms\AspNetWebForms.csproj,File,AspNetWebForms\AspNetWebForms.csproj,,,Newtonsoft.Json 13.0.1,,,,,"Newtonsoft.Json, 13.0.1  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,AspNetWebForms\AspNetWebForms.csproj,File,AspNetWebForms\AspNetWebForms.csproj,,,Microsoft.AspNet.Web.Optimization 1.1.3,,,,,"Microsoft.AspNet.Web.Optimization, 1.1.3  Recommendation:  Should be replaced. Remove Microsoft.AspNet.Web.Optimization, and replace with new package LigerShark.WebOptimizer.Core, 3.0.477"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,AspNetWebForms\AspNetWebForms.csproj,File,AspNetWebForms\AspNetWebForms.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,AspNetWebForms\AspNetWebForms.csproj,File,AspNetWebForms\AspNetWebForms.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net10.0"
Feature.0001,System.Web.Optimization bundling and minification is not supported in .NET Core and should be replaced with actual html tags pointing to content files,Active,Mandatory,1,AspNetWebForms\AspNetWebForms.csproj,File,AspNetWebForms\App_Start\BundleConfig.cs,,,,,,,,
Feature.1000,Convert application initialization code from Global.asax.cs to .NET Core and clean up Global.asax.cs,Active,Mandatory,1,AspNetWebForms\AspNetWebForms.csproj,File,AspNetWebForms\Global.asax.cs,,,,,,,,
Feature.0002,Routes registration via RouteCollection is not supported in .NET Core and needs to be converted to the route mappings on the application object,Active,Mandatory,1,AspNetWebForms\AspNetWebForms.csproj,File,AspNetWebForms\Global.asax.cs,,,,,,,,
Feature.0002,Routes registration via RouteCollection is not supported in .NET Core and needs to be converted to the route mappings on the application object,Active,Mandatory,1,AspNetWebForms\AspNetWebForms.csproj,File,AspNetWebForms\App_Start\RouteConfig.cs,,,,,,,,
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AspNetWebForms\AspNetWebForms.csproj,File,AspNetWebForms\App_Start\BundleConfig.cs,12,8,T:System.Web.Optimization.BundleCollection,,,,,public static void RegisterBundles(BundleCollection bundles)
